Format Version,1.23,Take Name,Take 2019-12-12 12.36.13 PM_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-12 12.37.31.575 下午,Total Frames in Take,1182,Total Exported Frames,1182,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,"LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker3","LeftUpperarm:Marker3","LeftUpperarm:Marker3","LeftUpperarm:Marker3",LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,"LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker4","LeftForearm:Marker4","LeftForearm:Marker4","LeftForearm:Marker4",LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,"LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker3","LeftHand:Marker3","LeftHand:Marker3","LeftHand:Marker3",LeftForearm:Marker1,LeftForearm:Marker1,LeftForearm:Marker1,LeftForearm:Marker2,LeftForearm:Marker2,LeftForearm:Marker2,LeftForearm:Marker3,LeftForearm:Marker3,LeftForearm:Marker3,LeftForearm:Marker4,LeftForearm:Marker4,LeftForearm:Marker4,LeftHand:Marker1,LeftHand:Marker1,LeftHand:Marker1,LeftHand:Marker2,LeftHand:Marker2,LeftHand:Marker2,LeftHand:Marker3,LeftHand:Marker3,LeftHand:Marker3,LeftUpperarm:Marker1,LeftUpperarm:Marker1,LeftUpperarm:Marker1,LeftUpperarm:Marker2,LeftUpperarm:Marker2,LeftUpperarm:Marker2,LeftUpperarm:Marker3,LeftUpperarm:Marker3,LeftUpperarm:Marker3,Unlabeled 1616,Unlabeled 1616,Unlabeled 1616,Unlabeled 1617,Unlabeled 1617,Unlabeled 1617,Unlabeled 1618,Unlabeled 1618,Unlabeled 1618,Unlabeled 1619,Unlabeled 1619,Unlabeled 1619,Unlabeled 1620,Unlabeled 1620,Unlabeled 1620,Unlabeled 1621,Unlabeled 1621,Unlabeled 1621,Unlabeled 1622,Unlabeled 1622,Unlabeled 1622,Unlabeled 1623,Unlabeled 1623,Unlabeled 1623,Unlabeled 1624,Unlabeled 1624,Unlabeled 1624,Unlabeled 1625,Unlabeled 1625,Unlabeled 1625,Unlabeled 1626,Unlabeled 1626,Unlabeled 1626,Unlabeled 1627,Unlabeled 1627,Unlabeled 1627,Unlabeled 1628,Unlabeled 1628,Unlabeled 1628
,ID,"592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","C7390","C7390","C7390","C7370","C7370","C7370","C73B0","C73B0","C73B0","C7340","C7340","C7340","C73A0","C73A0","C73A0","C7350","C7350","C7350","C7330","C7330","C7330","C7360","C7360","C7360","C7380","C7380","C7380","C7320","C7320","C7320","C7310","C7310","C7310","C7760","C7760","C7760","C7AC0","C7AC0","C7AC0","C7AD0","C7AD0","C7AD0","C7AE0","C7AE0","C7AE0","C7AF0","C7AF0","C7AF0","C7B00","C7B00","C7B00","C7B10","C7B10","C7B10","C7B20","C7B20","C7B20","C7A70","C7A70","C7A70","C7B40","C7B40","C7B40","C7B50","C7B50","C7B50","C7B60","C7B60","C7B60"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.523261,-0.482497,0.429494,-0.555814,0.230094,1.196584,0.111893,0.000192,0.237314,1.139864,0.099769,0.943851,0.237133,1.226375,0.060673,0.945932,0.215834,1.223513,0.175237,0.995492,-0.489475,-0.305679,0.524051,-0.626375,0.247268,0.978231,0.146031,0.000253,0.250747,0.932463,0.130903,0.896112,0.241623,0.937549,0.160219,0.935245,0.264784,1.001252,0.095144,0.934834,0.231918,1.041662,0.197855,0.986198,-0.546848,-0.434974,0.510643,-0.500998,0.209947,0.780144,0.212135,0.000749,0.223910,0.802754,0.134964,0.907468,0.197974,0.736976,0.249381,0.855684,0.207955,0.800703,0.252060,0.790598,0.250782,0.932318,0.131291,0.241549,0.937459,0.159988,0.264779,1.001489,0.095036,0.231961,1.041654,0.197822,0.223875,0.802832,0.135324,0.197862,0.736445,0.249575,0.208124,0.801221,0.251424,0.237314,1.140069,0.099677,0.237137,1.226171,0.060746,0.215831,1.223513,0.175255,0.745264,0.944846,-1.221758,1.281873,0.795846,0.187677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.523122,-0.482615,0.429606,-0.555756,0.230088,1.196572,0.111871,0.000189,0.237308,1.139851,0.099750,0.943851,0.237103,1.226358,0.060645,0.945932,0.215853,1.223506,0.175219,0.995492,-0.489418,-0.305719,0.524135,-0.626330,0.247252,0.978212,0.146008,0.000253,0.250725,0.932443,0.130882,0.896112,0.241607,0.937530,0.160200,0.935245,0.264759,1.001228,0.095117,0.934834,0.231918,1.041646,0.197834,0.986198,-0.546618,-0.435176,0.510809,-0.500904,0.209946,0.780153,0.212141,0.000749,0.223852,0.802760,0.134958,0.907468,0.198007,0.736986,0.249398,0.855684,0.207980,0.800714,0.252066,0.790598,0.250758,0.932296,0.131271,0.241534,0.937441,0.159966,0.264754,1.001465,0.095008,0.231961,1.041638,0.197803,0.223818,0.802840,0.135317,0.197894,0.736455,0.249596,0.208148,0.801228,0.251428,0.237307,1.140057,0.099662,0.237108,1.226156,0.060714,0.215850,1.223503,0.175238,0.745252,0.944814,-1.221765,1.281870,0.795878,0.187692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.523128,-0.482642,0.429689,-0.555663,0.230090,1.196551,0.111857,0.000194,0.237299,1.139830,0.099732,0.943938,0.237099,1.226338,0.060630,0.946800,0.215872,1.223485,0.175208,0.995044,-0.488925,-0.305992,0.524442,-0.626324,0.247225,0.978168,0.145978,0.000223,0.250688,0.932392,0.130871,0.895581,0.241603,0.937493,0.160197,0.934862,0.264669,1.001162,0.095055,0.934928,0.231940,1.041626,0.197789,0.986656,-0.546281,-0.435309,0.511026,-0.500934,0.209952,0.780150,0.212141,0.000755,0.223799,0.802728,0.134940,0.907690,0.198049,0.736995,0.249424,0.855570,0.208007,0.800727,0.252059,0.790938,0.250734,0.932266,0.131245,0.241529,0.937427,0.159953,0.264660,1.001351,0.094949,0.231977,1.041623,0.197780,0.223764,0.802807,0.135303,0.197936,0.736461,0.249622,0.208177,0.801248,0.251415,0.237298,1.140039,0.099640,0.237103,1.226133,0.060701,0.215869,1.223482,0.175227,0.745273,0.944825,-1.221761,1.281856,0.795881,0.187720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.523243,-0.482614,0.429857,-0.555449,0.230086,1.196529,0.111841,0.000171,0.237263,1.139806,0.099704,0.942859,0.237097,1.226322,0.060617,0.945597,0.215898,1.223460,0.175200,0.995142,-0.488868,-0.306035,0.524539,-0.626266,0.247219,0.978152,0.145965,0.000224,0.250673,0.932375,0.130859,0.900817,0.241596,0.937477,0.160187,0.934082,0.264653,1.001142,0.095037,0.945875,0.231953,1.041613,0.197778,0.990513,-0.546056,-0.435438,0.511116,-0.500976,0.209953,0.780140,0.212153,0.000752,0.223761,0.802705,0.134941,0.906672,0.198079,0.736989,0.249451,0.854824,0.208020,0.800725,0.252067,0.788687,0.250718,0.932254,0.131234,0.241522,0.937416,0.159945,0.264646,1.001326,0.094925,0.231989,1.041604,0.197771,0.223727,0.802783,0.135302,0.197967,0.736456,0.249647,0.208188,0.801244,0.251428,0.237265,1.139993,0.099607,0.237101,1.226126,0.060687,0.215892,1.223468,0.175226,0.745246,0.944824,-1.221766,1.281854,0.795894,0.187708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.523238,-0.482624,0.429877,-0.555429,0.230097,1.196515,0.111838,0.000177,0.237272,1.139792,0.099701,0.947325,0.237106,1.226308,0.060614,0.947999,0.215913,1.223446,0.175198,0.993084,-0.488889,-0.306124,0.524531,-0.626213,0.247214,0.978128,0.145970,0.000223,0.250668,0.932354,0.130855,0.900916,0.241594,0.937450,0.160185,0.934924,0.264641,1.001128,0.095044,0.946131,0.231952,1.041579,0.197796,0.990649,-0.545871,-0.435515,0.511243,-0.500981,0.209968,0.780133,0.212168,0.000751,0.223743,0.802682,0.134945,0.907295,0.198114,0.736990,0.249480,0.855104,0.208048,0.800727,0.252078,0.789845,0.250709,0.932229,0.131236,0.241523,0.937404,0.159941,0.264636,1.001309,0.094928,0.231987,1.041563,0.197792,0.223708,0.802761,0.135306,0.198002,0.736457,0.249676,0.208216,0.801246,0.251439,0.237274,1.139984,0.099602,0.237109,1.226108,0.060687,0.215907,1.223454,0.175222,0.745249,0.944827,-1.221748,1.281859,0.795895,0.187723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.523283,-0.482567,0.429900,-0.555419,0.230102,1.196500,0.111848,0.000172,0.237270,1.139776,0.099712,0.946155,0.237118,1.226291,0.060625,0.946787,0.215917,1.223433,0.175207,0.993490,-0.488832,-0.306070,0.524585,-0.626239,0.247218,0.978124,0.145974,0.000218,0.250669,0.932346,0.130868,0.899262,0.241596,0.937449,0.160197,0.935362,0.264645,1.001113,0.095043,0.946118,0.231962,1.041586,0.197789,0.990450,-0.545775,-0.435501,0.511305,-0.501035,0.209974,0.780124,0.212187,0.000753,0.223739,0.802657,0.134958,0.907293,0.198127,0.736989,0.249510,0.855354,0.208058,0.800727,0.252093,0.790032,0.250710,0.932224,0.131244,0.241527,0.937398,0.159953,0.264638,1.001294,0.094937,0.231998,1.041571,0.197778,0.223706,0.802743,0.135315,0.198013,0.736456,0.249718,0.208224,0.801236,0.251449,0.237272,1.139962,0.099617,0.237122,1.226097,0.060696,0.215912,1.223441,0.175230,0.745266,0.944839,-1.221763,1.281843,0.795893,0.187724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
