Format Version,1.23,Take Name,Take 2019-12-12 12.36.13 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-12 12.36.47.513 下午,Total Frames in Take,889,Total Exported Frames,889,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,"LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker3","LeftUpperarm:Marker3","LeftUpperarm:Marker3","LeftUpperarm:Marker3",LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,"LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker4","LeftForearm:Marker4","LeftForearm:Marker4","LeftForearm:Marker4",LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,"LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker3","LeftHand:Marker3","LeftHand:Marker3","LeftHand:Marker3",LeftForearm:Marker1,LeftForearm:Marker1,LeftForearm:Marker1,LeftForearm:Marker2,LeftForearm:Marker2,LeftForearm:Marker2,LeftForearm:Marker3,LeftForearm:Marker3,LeftForearm:Marker3,LeftForearm:Marker4,LeftForearm:Marker4,LeftForearm:Marker4,LeftHand:Marker1,LeftHand:Marker1,LeftHand:Marker1,LeftHand:Marker2,LeftHand:Marker2,LeftHand:Marker2,LeftHand:Marker3,LeftHand:Marker3,LeftHand:Marker3,LeftUpperarm:Marker1,LeftUpperarm:Marker1,LeftUpperarm:Marker1,LeftUpperarm:Marker2,LeftUpperarm:Marker2,LeftUpperarm:Marker2,LeftUpperarm:Marker3,LeftUpperarm:Marker3,LeftUpperarm:Marker3,Unlabeled 1580,Unlabeled 1580,Unlabeled 1580,Unlabeled 1581,Unlabeled 1581,Unlabeled 1581
,ID,"592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","C7390","C7390","C7390","C7370","C7370","C7370","C73B0","C73B0","C73B0","C7340","C7340","C7340","C73A0","C73A0","C73A0","C7350","C7350","C7350","C7330","C7330","C7330","C7360","C7360","C7360","C7380","C7380","C7380","C7320","C7320","C7320","C7310","C7310","C7310","C7760","C7760","C7760"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.508023,0.524886,-0.447567,0.515841,0.242897,1.204535,0.139677,0.000108,0.248758,1.148450,0.124303,0.969965,0.243804,1.236576,0.089347,0.976590,0.236128,1.228580,0.205382,0.987363,-0.482336,-0.357700,0.529764,-0.598959,0.263830,0.983196,0.161221,0.000216,0.266585,0.938650,0.142679,0.895641,0.260221,0.941526,0.173007,0.952229,0.276034,1.010007,0.110640,0.929826,0.252481,1.042598,0.218557,0.989986,-0.478624,-0.500866,0.534458,-0.484156,0.241814,0.781891,0.217205,0.000846,0.239930,0.804787,0.138887,0.898347,0.240503,0.738248,0.255775,0.837388,0.245009,0.802639,0.256954,0.756757,0.266612,0.938371,0.142988,0.260172,0.941542,0.172823,0.276030,1.010275,0.110556,0.252507,1.042587,0.218529,0.239951,0.804830,0.139290,0.240467,0.737623,0.255951,0.245026,0.803320,0.256259,0.248748,1.148569,0.124295,0.243814,1.236489,0.089316,0.236128,1.228549,0.205421,0.745246,0.944824,-1.221781,1.281856,0.795859,0.187685
1,0.008333,0.508034,0.524776,-0.447673,0.515849,0.242891,1.204512,0.139700,0.000097,0.248740,1.148422,0.124338,0.969965,0.243807,1.236542,0.089363,0.976590,0.236126,1.228572,0.205399,0.987363,-0.482339,-0.357620,0.529804,-0.598970,0.263813,0.983167,0.161233,0.000217,0.266564,0.938619,0.142697,0.895641,0.260199,0.941499,0.173024,0.952229,0.276024,1.009971,0.110651,0.929826,0.252467,1.042578,0.218562,0.989986,-0.478631,-0.500858,0.534586,-0.484015,0.241804,0.781872,0.217209,0.000861,0.239907,0.804769,0.138891,0.898347,0.240490,0.738229,0.255779,0.837388,0.245015,0.802619,0.256956,0.756757,0.266605,0.938359,0.142994,0.260135,0.941489,0.172857,0.276018,1.010243,0.110559,0.252495,1.042571,0.218535,0.239928,0.804813,0.139296,0.240454,0.737593,0.255960,0.245032,0.803313,0.256252,0.248731,1.148527,0.124343,0.243815,1.236476,0.089328,0.236127,1.228535,0.205429,0.745237,0.944814,-1.221763,1.281871,0.795861,0.187669
2,0.016667,0.508121,0.524695,-0.447684,0.515836,0.242897,1.204502,0.139715,0.000096,0.248737,1.148412,0.124353,0.973753,0.243826,1.236533,0.089379,0.980950,0.236128,1.228562,0.205414,0.988031,-0.482427,-0.357507,0.529942,-0.598844,0.263782,0.983165,0.161254,0.000232,0.266512,0.938616,0.142717,0.900882,0.260148,0.941499,0.173045,0.955262,0.276005,1.009964,0.110672,0.928189,0.252464,1.042580,0.218583,0.990141,-0.478726,-0.500842,0.534499,-0.484035,0.241776,0.781856,0.217215,0.000853,0.239897,0.804763,0.138900,0.897845,0.240453,0.738207,0.255779,0.834271,0.244979,0.802596,0.256967,0.752619,0.266498,0.938379,0.143042,0.260129,0.941477,0.172869,0.276018,1.010236,0.110569,0.252483,1.042561,0.218550,0.239918,0.804809,0.139303,0.240417,0.737577,0.255960,0.244995,0.803279,0.256266,0.248728,1.148513,0.124361,0.243834,1.236471,0.089338,0.236129,1.228524,0.205447,0.745242,0.944827,-1.221767,1.281844,0.795880,0.187697
3,0.025000,0.508110,0.524693,-0.447710,0.515826,0.242896,1.204495,0.139730,0.000098,0.248734,1.148403,0.124369,0.974484,0.243824,1.236524,0.089393,0.981183,0.236131,1.228557,0.205428,0.987348,-0.482388,-0.357621,0.529771,-0.598959,0.263797,0.983141,0.161254,0.000217,0.266549,0.938595,0.142713,0.899443,0.260181,0.941472,0.173040,0.955574,0.276012,1.009950,0.110674,0.927069,0.252447,1.042546,0.218587,0.989263,-0.479816,-0.500174,0.535120,-0.482960,0.241673,0.781797,0.217211,0.000913,0.239884,0.804770,0.138913,0.898405,0.240192,0.738125,0.255742,0.835873,0.244942,0.802497,0.256979,0.755353,0.266589,0.938343,0.143017,0.260116,0.941466,0.172881,0.276006,1.010228,0.110581,0.252478,1.042522,0.218547,0.239904,0.804801,0.139316,0.240149,0.737428,0.255912,0.244968,0.803276,0.256279,0.248725,1.148508,0.124376,0.243832,1.236459,0.089355,0.236132,1.228518,0.205459,0.745257,0.944839,-1.221779,1.281844,0.795905,0.187715
4,0.033333,0.508098,0.524720,-0.447718,0.515804,0.242901,1.204488,0.139748,0.000095,0.248739,1.148397,0.124385,0.973729,0.243825,1.236519,0.089412,0.980954,0.236140,1.228548,0.205447,0.987663,-0.482421,-0.357521,0.529938,-0.598845,0.263767,0.983149,0.161277,0.000228,0.266497,0.938600,0.142740,0.900880,0.260133,0.941482,0.173067,0.956867,0.275988,1.009949,0.110695,0.926572,0.252448,1.042564,0.218607,0.986111,-0.479910,-0.500096,0.535111,-0.482956,0.241635,0.781791,0.217217,0.000896,0.239864,0.804765,0.138919,0.898792,0.240140,0.738118,0.255746,0.820525,0.244900,0.802489,0.256985,0.737999,0.266488,0.938369,0.143065,0.260110,0.941465,0.172894,0.276000,1.010216,0.110588,0.252468,1.042541,0.218576,0.239884,0.804796,0.139324,0.240098,0.737439,0.255911,0.244925,0.803251,0.256290,0.248730,1.148500,0.124390,0.243833,1.236453,0.089376,0.236141,1.228512,0.205477,0.745263,0.944844,-1.221764,1.281855,0.795860,0.187681
5,0.041667,0.508128,0.524698,-0.447723,0.515793,0.242912,1.204488,0.139761,0.000098,0.248746,1.148397,0.124397,0.974242,0.243840,1.236520,0.089426,0.981185,0.236151,1.228548,0.205461,0.988192,-0.482515,-0.357450,0.529958,-0.598793,0.263762,0.983138,0.161283,0.000234,0.266485,0.938590,0.142743,0.900264,0.260118,0.941471,0.173070,0.956037,0.275996,1.009939,0.110704,0.927972,0.252448,1.042551,0.218616,0.989100,-0.479247,-0.500481,0.534631,-0.483747,0.241652,0.781824,0.217241,0.000852,0.239841,0.804755,0.138931,0.898299,0.240253,0.738167,0.255792,0.824959,0.244862,0.802550,0.256999,0.742170,0.266469,0.938361,0.143073,0.260098,0.941460,0.172906,0.276009,1.010215,0.110601,0.252470,1.042512,0.218569,0.239861,0.804797,0.139328,0.240216,0.737532,0.255967,0.244881,0.803242,0.256313,0.248737,1.148501,0.124404,0.243848,1.236455,0.089384,0.236152,1.228509,0.205495,0.745246,0.944836,-1.221788,1.281852,0.795900,0.187706
