Format Version,1.23,Take Name,Take 2019-12-12 12.36.13 PM_005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-12 12.37.56.853 下午,Total Frames in Take,638,Total Exported Frames,638,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,LeftUpperarm,"LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker1","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker2","LeftUpperarm:Marker3","LeftUpperarm:Marker3","LeftUpperarm:Marker3","LeftUpperarm:Marker3",LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,LeftForearm,"LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker1","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker2","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker3","LeftForearm:Marker4","LeftForearm:Marker4","LeftForearm:Marker4","LeftForearm:Marker4",LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,LeftHand,"LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker1","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker2","LeftHand:Marker3","LeftHand:Marker3","LeftHand:Marker3","LeftHand:Marker3",LeftForearm:Marker1,LeftForearm:Marker1,LeftForearm:Marker1,LeftForearm:Marker2,LeftForearm:Marker2,LeftForearm:Marker2,LeftForearm:Marker3,LeftForearm:Marker3,LeftForearm:Marker3,LeftForearm:Marker4,LeftForearm:Marker4,LeftForearm:Marker4,LeftHand:Marker1,LeftHand:Marker1,LeftHand:Marker1,LeftHand:Marker2,LeftHand:Marker2,LeftHand:Marker2,LeftHand:Marker3,LeftHand:Marker3,LeftHand:Marker3,LeftUpperarm:Marker1,LeftUpperarm:Marker1,LeftUpperarm:Marker1,LeftUpperarm:Marker2,LeftUpperarm:Marker2,LeftUpperarm:Marker2,LeftUpperarm:Marker3,LeftUpperarm:Marker3,LeftUpperarm:Marker3,Unlabeled 1652,Unlabeled 1652,Unlabeled 1652,Unlabeled 1653,Unlabeled 1653,Unlabeled 1653,Unlabeled 1654,Unlabeled 1654,Unlabeled 1654,Unlabeled 1655,Unlabeled 1655,Unlabeled 1655
,ID,"592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","592FA7E31BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","EF2E106F1BD111EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","4A0C96761BD211EA31ABF308BE2CE59B","C7390","C7390","C7390","C7370","C7370","C7370","C73B0","C73B0","C73B0","C7340","C7340","C7340","C73A0","C73A0","C73A0","C7350","C7350","C7350","C7330","C7330","C7330","C7360","C7360","C7360","C7380","C7380","C7380","C7320","C7320","C7320","C7310","C7310","C7310","C7760","C7760","C7760","C7C60","C7C60","C7C60","C7C70","C7C70","C7C70"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.518196,-0.509214,0.439056,-0.528587,0.248055,1.198731,0.098538,0.000129,0.254267,1.142493,0.083873,0.960306,0.251551,1.230377,0.048071,0.960644,0.238347,1.223322,0.163668,0.981390,-0.485451,-0.317191,0.540913,-0.609213,0.263622,0.978418,0.126094,0.000245,0.265234,0.932795,0.110232,0.899297,0.257585,0.937694,0.139999,0.909930,0.279393,1.001707,0.074760,0.976215,0.252278,1.041477,0.179383,0.983851,-0.515749,-0.452673,0.506924,-0.521649,0.227444,0.782235,0.193384,0.000671,0.237719,0.803187,0.115173,0.914123,0.219577,0.739596,0.232296,0.870472,0.225036,0.803923,0.232684,0.813164,0.265086,0.932609,0.110557,0.257716,0.937862,0.139708,0.279425,1.001786,0.074717,0.252261,1.041416,0.179395,0.237690,0.803271,0.115505,0.219515,0.739120,0.232491,0.225138,0.804365,0.232090,0.254268,1.142620,0.083779,0.251561,1.230221,0.048095,0.238337,1.223349,0.163737,0.745278,0.944846,-1.221755,1.281849,0.795848,0.187697,,,,,,
1,0.008333,-0.518276,-0.509116,0.438952,-0.528689,0.248076,1.198738,0.098600,0.000120,0.254294,1.142501,0.083938,0.960306,0.251591,1.230384,0.048135,0.960644,0.238342,1.223329,0.163727,0.981390,-0.485612,-0.317058,0.540833,-0.609225,0.263616,0.978421,0.126136,0.000243,0.265229,0.932799,0.110271,0.899297,0.257568,0.937696,0.140035,0.909930,0.279412,1.001713,0.074812,0.976215,0.252256,1.041477,0.179426,0.983851,-0.515872,-0.452623,0.506853,-0.521640,0.227410,0.782246,0.193391,0.000655,0.237706,0.803208,0.115186,0.914123,0.219529,0.739602,0.232294,0.870472,0.224994,0.803927,0.232694,0.813164,0.265082,0.932618,0.110589,0.257702,0.937868,0.139742,0.279439,1.001784,0.074782,0.252240,1.041417,0.179435,0.237677,0.803288,0.115518,0.219469,0.739138,0.232481,0.225095,0.804360,0.232109,0.254294,1.142633,0.083849,0.251600,1.230228,0.048165,0.238334,1.223352,0.163786,0.745257,0.944810,-1.221758,1.281859,0.795860,0.187690,,,,,,
2,0.016667,-0.518359,-0.508849,0.438889,-0.528917,0.248110,1.198731,0.098670,0.000096,0.254332,1.142488,0.084030,0.959874,0.251661,1.230360,0.048197,0.960237,0.238336,1.223344,0.163783,0.984206,-0.485740,-0.316960,0.540721,-0.609273,0.263625,0.978428,0.126181,0.000246,0.265245,0.932807,0.110313,0.901419,0.257571,0.937702,0.140075,0.908721,0.279440,1.001723,0.074865,0.979409,0.252243,1.041480,0.179472,0.984203,-0.516146,-0.452461,0.506670,-0.521688,0.227368,0.782233,0.193410,0.000658,0.237721,0.803212,0.115217,0.914173,0.219453,0.739581,0.232297,0.874106,0.224930,0.803905,0.232716,0.816357,0.265094,0.932618,0.110631,0.257707,0.937874,0.139785,0.279469,1.001804,0.074837,0.252228,1.041417,0.179475,0.237692,0.803295,0.115546,0.219392,0.739115,0.232490,0.225031,0.804336,0.232130,0.254331,1.142603,0.083964,0.251669,1.230234,0.048214,0.238330,1.223355,0.163831,0.745251,0.944814,-1.221761,1.281845,0.795861,0.187704,,,,,,
3,0.025000,-0.518509,-0.508590,0.438927,-0.528988,0.248133,1.198724,0.098718,0.000094,0.254340,1.142476,0.084091,0.966879,0.251719,1.230343,0.048241,0.967958,0.238341,1.223353,0.163822,0.987570,-0.485847,-0.316857,0.540626,-0.609326,0.263638,0.978429,0.126219,0.000242,0.265263,0.932809,0.110350,0.900202,0.257579,0.937703,0.140109,0.909250,0.279472,1.001726,0.074909,0.977585,0.252236,1.041480,0.179507,0.983895,-0.516445,-0.452251,0.506597,-0.521644,0.227328,0.782227,0.193435,0.000656,0.237735,0.803218,0.115252,0.914834,0.219373,0.739570,0.232309,0.873068,0.224878,0.803892,0.232744,0.816404,0.265116,0.932625,0.110666,0.257714,0.937872,0.139817,0.279499,1.001801,0.074882,0.252221,1.041422,0.179514,0.237706,0.803300,0.115580,0.219311,0.739105,0.232500,0.224979,0.804322,0.232161,0.254336,1.142590,0.084044,0.251727,1.230230,0.048244,0.238336,1.223351,0.163865,0.745265,0.944842,-1.221765,1.281850,0.795862,0.187707,,,,,,
4,0.033333,-0.517809,-0.509245,0.437982,-0.529825,0.248253,1.198765,0.098756,0.000148,0.254643,1.142536,0.084137,0.969100,0.251767,1.230392,0.048279,0.971746,0.238350,1.223368,0.163853,0.989103,-0.485922,-0.316769,0.540568,-0.609362,0.263646,0.978422,0.126252,0.000242,0.265275,0.932801,0.110384,0.901431,0.257583,0.937695,0.140140,0.909153,0.279494,1.001718,0.074946,0.979051,0.252232,1.041472,0.179537,0.984914,-0.516658,-0.452131,0.506442,-0.521688,0.227294,0.782205,0.193470,0.000642,0.237745,0.803210,0.115297,0.915102,0.219312,0.739542,0.232332,0.873392,0.224824,0.803863,0.232782,0.817036,0.265126,0.932620,0.110699,0.257719,0.937864,0.139847,0.279522,1.001790,0.074919,0.252216,1.041413,0.179544,0.237717,0.803293,0.115613,0.219251,0.739084,0.232521,0.224923,0.804282,0.232217,0.254634,1.142718,0.084090,0.251779,1.230234,0.048288,0.238348,1.223346,0.163890,0.745276,0.944853,-1.221772,1.281848,0.795849,0.187692,,,,,,
5,0.041667,-0.517844,-0.509225,0.437926,-0.529856,0.248274,1.198756,0.098779,0.000147,0.254667,1.142527,0.084158,0.953000,0.251793,1.230385,0.048304,0.960397,0.238360,1.223355,0.163876,0.989357,-0.485954,-0.316757,0.540577,-0.609336,0.263660,0.978429,0.126293,0.000233,0.265286,0.932809,0.110423,0.901770,0.257594,0.937703,0.140179,0.908945,0.279512,1.001727,0.074988,0.979677,0.252249,1.041478,0.179580,0.984631,-0.516831,-0.452038,0.506374,-0.521664,0.227278,0.782205,0.193497,0.000648,0.237759,0.803221,0.115330,0.917869,0.219276,0.739536,0.232348,0.875257,0.224801,0.803857,0.232812,0.822297,0.265139,0.932617,0.110725,0.257734,0.937868,0.139877,0.279541,1.001784,0.074955,0.252227,1.041447,0.179614,0.237731,0.803310,0.115646,0.219214,0.739077,0.232546,0.224900,0.804271,0.232237,0.254658,1.142707,0.084109,0.251805,1.230226,0.048310,0.238357,1.223335,0.163917,0.745269,0.944829,-1.221760,1.281862,0.795859,0.187692,,,,,,
